genus,species,tmax,tmin,phylum,class,order,family,scientific_name_std,n,lat,long,region
Usnea,acanthera,NA,-9.3,Ascomycota,Lecanoromycetes,Lecanorineae,Parmeliaceae,Usnea acanthera,NA,4.2,9.2,Tropical
Usnea,livida,NA,-10,Ascomycota,Lecanoromycetes,Lecanorineae,Parmeliaceae,Usnea livida,NA,2,17,Tropical
Usnea,ochrophora,NA,-7.9,Ascomycota,Lecanoromycetes,Lecanorineae,Parmeliaceae,Usnea ochrophora,NA,4.2,9.2,Tropical
Anolis,barbouri,34.9,11.7,Chordata,Lepidosauria,Squamata,Iguanidae,Anolis barbouri,12,18.25,-71.22,Tropical
Anolis,auratus,40,NA,Chordata,Lepidosauria,Squamata,Iguanidae,Anolis auratus,17,9.16,-79.84,Tropical
Anolis,frenatus,35.7,NA,Chordata,Lepidosauria,Squamata,Iguanidae,Anolis frenatus,8,9.16,-79.84,Tropical
Anolis,tropidogaster,33.4,NA,Chordata,Lepidosauria,Squamata,Iguanidae,Anolis tropidogaster,4,9.16,-79.84,Tropical
Chamaeleo,ellioti,41.8,3.5,Chordata,Lepidosauria,Squamata,Chamaeleonidae,Trioceros ellioti,6,0.2,35.1,Tropical
Urosaurus,auriculatus,43.5,NA,Chordata,Lepidosauria,Squamata,Iguanidae,Urosaurus auriculatus,9,18.8,-110.97,Tropical
Urosaurus,clarionensis,41.8,NA,Chordata,Lepidosauria,Squamata,Iguanidae,Urosaurus clarionensis,6,18.37,-114.74,Tropical
Masticophis,anthonyi,40.5,NA,Chordata,Lepidosauria,Squamata,Colubridae,Coluber anthonyi,5,18.37,-114.74,Tropical
Anolis,pentaprion,36,NA,Chordata,Lepidosauria,Squamata,Iguanidae,Anolis pentaprion,1,9.16,-79.84,Tropical
Anolis,oculatus,35.5,NA,Chordata,Lepidosauria,Squamata,Iguanidae,Anolis oculatus,7,15.29,-61.4,Tropical
Anolis,evermanni,38.9,NA,Chordata,Lepidosauria,Squamata,Iguanidae,Anolis evermanni,9,18.27,-65.91,Tropical
Anolis,stratulus,41.2,NA,Chordata,Lepidosauria,Squamata,Iguanidae,Anolis stratulus,9,18.4,-66.05,Tropical
Anolis,cybotes,40.1,NA,Chordata,Lepidosauria,Squamata,Iguanidae,Anolis cybotes,NA,18.18,-71.07,Tropical
Anolis,shrevei,40.1,NA,Chordata,Lepidosauria,Squamata,Iguanidae,Anolis shrevei,NA,18.8,-70.68,Tropical
Anolis,marcanoi,40.5,NA,Chordata,Lepidosauria,Squamata,Iguanidae,Anolis marcanoi,NA,19.12,-70.63,Tropical
Anolis,krugi,36,NA,Chordata,Lepidosauria,Squamata,Iguanidae,Anolis krugi,10,18.4,-66.05,Tropical
Anolis,pulchellus,36.1,NA,Chordata,Lepidosauria,Squamata,Iguanidae,Anolis pulchellus,10,18.37,-65.72,Tropical
Anolis,semilineatus,39.6,NA,Chordata,Lepidosauria,Squamata,Iguanidae,Anolis semilineatus,10,18.45,-69.66,Tropical
Anolis,roquet,35.9,NA,Chordata,Lepidosauria,Squamata,Iguanidae,Anolis roquet,7,14.64,-61.02,Tropical
Ameiva,quadrilineata,45.1,NA,Chordata,Lepidosauria,Squamata,Teiidae,Holcosus quadrilineatus,35,10.57,-83.53,Tropical
Basiliscus,vittatus,43.1,NA,Chordata,Lepidosauria,Squamata,Iguanidae,Basiliscus vittatus,20,10.58,-83.52,Tropical
Sphenomorphus,incognitus,39.3,12,Chordata,Lepidosauria,Squamata,Scincidae,Sphenomorphus incognitus,15,22.05,121.53,Tropical
Anolis,gundlachi,35.7,6.3,Chordata,Lepidosauria,Squamata,Iguanidae,Anolis gundlachi,10,18.29,-66.79,Tropical
Hemidactylus,frenatus,42.4,11.9,Chordata,Lepidosauria,Squamata,Gekkonidae,Hemidactylus frenatus,14,21.97,-159.72,Tropical
Lepidodactylus,lugubris,40.2,11.5,Chordata,Lepidosauria,Squamata,Gekkonidae,Lepidodactylus lugubris,15,21.97,-159.72,Tropical
Sphaerodactylus,gaigeae,38.2,12.5,Chordata,Lepidosauria,Squamata,Sphaerodactylidae,Sphaerodactylus gaigeae,NA,18.04,-65.89,Tropical
Sphaerodactylus,klauberi,36.3,10.4,Chordata,Lepidosauria,Squamata,Sphaerodactylidae,Sphaerodactylus klauberi,NA,18.37,-65.72,Tropical
Sphaerodactylus,macrolepis,39.4,11.3,Chordata,Lepidosauria,Squamata,Sphaerodactylidae,Sphaerodactylus macrolepis,NA,18.38,-67.19,Tropical
